sūlūde	sul+ud-i
ḫōdena	ḫōde-na
tālāl	tal-a=l
tatḫundōrinamma	tātḫ+und+ō+re-na=mma
taptani	tap-d-an-i
ažugallēni	ažugali-ne-ne
fōril	for-i=l
kirġe	kirġe
ela	eli-a
ḫiliġini	ḫil+i+ġe-ne
piġīe	piġi-i-e
egōššōla	eg+o+šš-ol-a
iškiniaž	iški+ni-i-až
niġarži	niġar+že
irdi	ird-i
avarribina	avari-ne-ve-na
eġlibinida	eġli-ve-ne-da
ḫibarni	ḫibar+ni
pendu	pen-d-o
pīarida	pīar-id-a
šapḫaldib	šapḫaldi-v
talīa	tal-i-a
anaulēž	ana-o-l-ež
šōġurri	šōġori-ne
šeġellibinažuž	šeġli-ne-ve-na-až-ož
sikkulli	sikk-ulli
kadulli	kad-ol-i-le
māli	māl-i
kikkunimma	kikk+o+ni=mma
taballiž	taba+li-ne-ž
fōril	fōri-i=l
tīda	tidi-a
ḫuldib	ḫul-d-i-b
alamuž	alami-ož
ḫažarrež	ḫāž+ar+i-ne-ž
kōmura	kōm-ur-a
murriniba	mōrri-ne-va
tarinnima	tar+i+nni=ma
tādareški	tād+ar+e+ški
fogāda	fog+ādi-a
iraduž	erade-ož
pārila	pārili-a
itkidannim	itk-id-anni=m
ḫōdurum	ḫōd-ur-o-m
pāndib	fandi-v
uri	ur-i
šagužellandin	šag-ož-ill-and-i-n
ažōġinel	až+oġi-ne-ž=l
nēlaban	nēl-a-b=an
pāššitḫād	pāšš+i+tḫe-a=d
taženi	taže-ne
ittūbin	ittūbi-n
eġepšullima	eġ+epš-ulli=ma
kibi	kevi
ḫilde	ḫilde
puramdi	purandi
šukka	šokko-a
ḫelōva	ḫelōvi-a
nōġaššeni	nōġašše-ne
fāġri	faġr-i
ḫattuġe	ḫatt+o+ġe
tōruḫḫāe	tor+o+ḫḫe-ae
itkulda	itk-ol-d-a
mānura	mān+o+re-a
ḫuwe	ḫuwe
kirarinnilam	kir+ar+i+nni-i=l=m
šidarna	šid+ar+ni-a
ḫaššiadināža	ḫaššiadi-na-až-a
šēže	šēžē
katki	kat+ki
kibure	kev+o+re
ēbrinniba	ever+ni-ne-va
suġri	suġri
māmurinibi	mām+o+re-ne-ve
ižuġna	ižuġ+ni-a
itkudutki	itk+ud+ut+ki
ḫurida	ḫōri-i-da
ḫōbēdi	ḫōb-ed-i
āšḫīma	āšḫi-i=ma
šeštena	šešti-na
pindilivaž	pend-i-l-eva-ž
šaderida	šaderi-da
faġruži	faġr+o+že
nūdu	nūd-o
ḫassin	ḫassī-n
tunuštu	ton-ošt-o
šerrin	šēri-ne-n
ḫiarrež	ḫiari-ne-ž
arda	arde-a
nelġa	nelġ-a
pendūġa	pend-oġ-a
ḫōdannida	ḫōd+a+nni-da
ulluġēdi	oll-oġ-ed-i
kadiōššina	kad-i-o-šše-na
maruda	mar-ud-a
nōial	noi-a=l
paġēda	pāġ-ed-a
ḫōmni	ḫōmni
arūlāuž	ar-ul-aw-ž
taduġebāba	tado.ḫeba-va
fōrālīzie	fōr+all+i+n+ze
šialužum	šial-ož-o-m
ammužima	amm-ož-i=ma
šinutḫina	šinut-ġe-na
ḫāž	ḫa-a
kīrenzamma	kire+n+ze-a=mma
nēla	nēli-a
sablōžu	sabl-ož-o
ideppūda	idi-iffu-da
šelluġlupšenie	šell+o+ġ+l+o+pše-ne
ḫumaruġinan	ḫōm+ar+o+ḫḫe-na=an
ḫōmmāruḫḫināža	ḫōm+ar+o+ḫḫe-na-až-a
ištennanan	ište=nna=nan
fēnāna	fēn+ā+ni-a
tōmmušše	tōmmo+šše
šugārdedāwul	šug+ārd-ed-aw=l
pussa	puss-a
pēbi	fē-ve
madaffa	mādi-a=ffa
kangalbālla	kangalvi-a=lla
ediaža	idi-i-až-a
miržāe	mirž-i-ai
šubribima	šubri-ve=ma
tedevaduḫḫa	tid+i+vad+o+ḫḫe-a
šeġōnāža	šeġōni-na-až-a
talmōla	talm-ol-a
talippa	tal-i-b=ma
tabrēnni	tab+i+rē+nni
naḫḫuža	naḫḫ+o+že-a
mēgummi	mēg-umme
šeġalulaēž	šeġal-o-l-ai-ž
arulli	aruli-ne
ēbla	ēbla
illaiaġe	illaia-ġe
sāllava	sāllavi-a
šurakkanna	šurakk+a+nni-a
itḫiniž	itḫi-ne-ž
ḫillamen	ḫillame-n
šarrināže	šarri-na-až-ve
piga	pigi-a
pāriža	pār+i+že-a
šīb	šī-i-b
murġulišta	murġ-ol-išt-a
palaġa	palaġi-a
azallaenen	azallae-ne-n
ananešḫiani	an+an+e+šḫe-i-ane
keldāi	kel+di-ae
kūžuġ	kužuġ
kešḫi	kešḫi
šiwumballa	ši-umb-a=lla
ḫārri	ḫāri-ne
šāli	šāl-i
unīdu	un-id-o
ummana	umm-an-a
ibrinza	evren+ze-a
pudūlimaššinaža	fud+ol+i+m+a+šše-na-až-a
šōra	šōri-a
tādinibād	tādi-ne-va=d
inumma	inu=mma
pēdaruž	ped+ar+i-ož
pāġružini	faġr+o+že-ne-e
kēbillāžuž	keb+li-na-až-ož
aluwīb	alu-i-b
naḫḫilāi	naḫḫ-i-l-ai
nabarvināžuž	nabarbi-ve-na-až-ož
tarni	tarn-i
sāžulia	sāz-ol-i-a
šūpta	šūp-d-a
tuffaēšḫema	tuffaē+šḫe=ma
apšena	apše-na
šīri	šīri
elaminēve	elami-ne-ve
ḫōmnummi	ḫōmn-umme
ḫannibāe	ḫanni-ve-ae
fēḫḫēda	fēḫḫ-ed-a
adīrġa	adīr+ġe-a
fōri	for-i
ḫavōrnuž	ḫavor+ni-ož
kēažima	kiaže=ma
urukku	ur-o-kko
sōpḫōra	sōpḫōri-a
ḫullurēva	ḫull+o+re-i-va
tagulaēž	tag-o-l-ai-ž
mužōlōm	mūž-ol-o-m
ḫōlliaž	ḫōlli-i-až
ḫōmbārži	ḫomb+ar+ži
ārdibinešša	arde-i-ve-ne-ž=nna
egai	egi-ae
kammanġiani	kamm+an+ġe-i-ane
teššeni	tešše+ni
kivōrġēnivōž	kiv+ōr+ġē-ne-ve-ož
izōzi	izuzi
itkundaššinama	itk-u-nd-a-šše-na=ma
uīb	uwi-v
šukku	šokko
šendena	šindi-na
manza	man-z-a
nānidi	nān-ed-i
ḫāri	ḫāri
ibāi	ibi-ae
miluladilāe	mil-ol-ad-i-l-ai
salma	salmi=ma
andi	andi
ururmilīaž	orurmili-i-až
kuruppa	kuruppi-a
abiaža	ave-až-a
ḫāžažilēž	ḫaž-až-i-l-ež
šukkuttatta	šukk+utti-a=tta
aġarri	aġarri
kulōrum	kul-ur-o-m
ažurež	až-o-re-i-ž
kādāšti	kad-ašt-i
tarria	tarr-i-a
pairibuwi	pa+i+re-iffu-ve
tāġiniba	tāġe-ne-va
ulaffa	oli-a=ffa
amumām	am+o+mi-a=m
šattub	šātt-o-m
agōža	ag-ož-a
taržuwannažuž	taržuwa+ni-na-až-ož
aštuḫḫina	ašt+o+ḫḫe-na
šinurġina	šinurġi-na
šuratḫiniž	šur+a+tḫe-ne-ž
šēġadulimaššinama	šēġ+ad+ul+i+m+a+šše-na=ma
sīgila	sīg-il-a
ḫāvōrunnīra	ḫavor+ni-ne-ra
ušḫuni	ošḫo+ni
tādiašši	tād+i+a+šše
mānnin	mānne=n
ḫaiġi	ḫa+i+ġe
marešḫi	mar+i+šḫe
ḫabalgi	ḫabalgi
fāġra	faġri-a
ebāe	ebi-ae
ūlvinēma	olvi-ne-e=ma
ōrdab	ōr+d-a-b
ḫinzida	ḫenzi-i-da
agunna	ag-o=nna
agūrna	ag+ūr+ni-a
natḫinen	natḫi-ne-n
surōža	sur-ož-a
fāžu	faž-u
kumarvenež	kumarve-ne-ž
aigalduba	aigaldu-va
ḫāuži	ḫa-ož-i
šeġurnibini	šeġor+ni-ve-ne-e
ava	avi-a
fāzanigarvaž	fāzanigar-ve-až
agidōri	ag-id-o-re
kulzinež	kulzi-ne-ž
ōrginin	ōrgi-ne-n
tāndu	tān-d-o
āššiden	āšš-id-en
ebirni	ever+ni
ḫatḫēda	ḫatḫ-ed-a
fadeġib	fadeġi-v
kešḫīda	kešḫi-i-da
abiġarrivenella	ab+iġ+ar+i-ne-ve-ne-e=lla
kirarinna	kir+ar+i+nni-a
ēppiri	ēpp+i+re
pāġida	pāġi-da
malvāži	malvāži
pāġiaža	pāġi-i-až-a
mala	mali-a
šerrāža	šēri-na-až-a
āmba	āmb-a
šōeni	šōe-ne
eġilli⸢fa⸣ašša	eġl-i-l-eva-ž=nna
kišḫiažal	kešḫi-i-až-a=l
nēlla	nēli-na
ideba	idi-i-va
tōġadumanni	tōġ+ad+om+a+ni-ne
paliu	pal-i-o
tagiže	tage+že
ḫaziana	ḫaziani-a
sabarri	sabari-ne
attaibinešša	atta+i-i-ve-ne-ž=nna
šēġalana	šēġala-na
šilaluġinida	šilaluġi-ne-da
avallivena	av+al+i-ne-ve-ne-a
ōnduma	ondu=ma
ažaštilib	až-ašt-i-le=m
piari	pīari
šaballi	šavli-ne-e
ānzamma	anz-a=mma
ideb	idi-v
šūrbēnež	šūrbē-ne-ž
ḫāvōžina	ḫāv+ō+že-na
ḫōrida	ḫōri-da
ežene	eže-ne
ḫubuštab	ḫub-ušt-aw
šablāe	šavli-ae
tumnadinella	tomn+adi-ne=lla
māmmurinie	mamm+o+re-ne-e
ḫažimarri	ḫažimari-ne
elabae	ela-ve-ae
murrāe	murri-ae
pāžēni	pāže-e-ne
uġōššāi	oġ+ō+šše-ae
urida	ori-i-da
agappa	ag-a-b=ma
agi	agi
ūrġāb	ūrġi-a=v
itkalzibināža	itkal+zi-ve-na-až-a
itkalza	itkal+zi-a
nōġinduž	nōġ-ind-o-ež
itkalzibinažadel	itkal+zi-ve-na-až-a=dil
ērbi	ervi
ḫōrraža	ḫōri-na-až-a
tivāḫtu	tiv-aġ-id-o
kōmura	kōmuri-a
ištanida	ištani-i-da
šāri	šāri
enad	en-a=d
ēkkinēn	ēkke-ne-n
inūru	in-ur-o
ḫellib	ḫill-i-b
mānuda	man-oda
tēġida	teġidi-a
iġārrin	iġari-ne-n
našpa	našpi-a
šilumōtḫeb	šil+um+ō+tḫe=m
munġīe	munġi-e
abēd	ave-ž=d
tōri	tūri
pāra	pār-a
issēdi	iss-ed-i
kamveda	kamve-da
uruġeda	ur-oġ-ed-a
nērara	nera-ra
kižarženež	kiž+ar+že-ne-ž
šela	šeli-a
kēda	kēdi-a
šīġāvenažan	šēġa-ve-na-až-a=an
īnippinid	ieni-v-ve-ne-e=d
kulvenāma	kulve-na=ma
kumarbiž	kumarve-ž
āštippa	āšte-v=ma
abrām	abri-a=m
paīnninibuž	paīnni-ne-ve-ož
ašḫužikkunnida	āšḫ+ož+i+kk+o+nni-da
šukki	šokki
ura	uri-a
ibrinnažuž	ever+ni-na-až-ož
pandarinna	fand+ar+i+nni-a
ava	av-a
kundārrin	kundāri-ne-n
pussa	pussi-a
foglāla	fogl-al-a
kāde	kāde
āšta	āšte-a
anzīma	anzi-i=ma
ūžia	uw+o+že-i-a
ḫaīb	ḫa-i-b
tapšab	tapš-a-b
ōštannōġa	ōšt+ann-oġ-a
ubinež	ove-ne-ž
kivožuž	kev-ož-o-ež
šōnib	šō+ni-v
šauškada	šavoška-da
karinež	kare-ne-ž
nakkiōššunā	nakk-i-oššo=nna
šuġa	šuʾ-a
ažaštedō	až-ašt-ed-aw
immaškun	immašku=n
šōġunnaži	šōġoni-na-až-ve
mēgi	mēgi
uba	ubi-a
adaniašta	ad+ā+ni-i-až-da
eda	ed-a
fudōštu	fud-ošt-o
elmi	elmi
kažlulēž	kažl-o-l-ež
pulliž	puli-ne-ž
ānnu	ānnu
kablāi	kabl-i-ai
šīnimma	šini=mma
ḫilli	ḫill-i
ḫōbra	ḫōbri-a
tīva	tiye-i-va
neššib	nešši-v
tīb	te-i-b
ḫužūwa	ḫōž-u-a
telu	tel-o
ištuma	ištani-o-m=ma
ḫiri	ḫiri
tanānna	tanāni-na
ḫažara	ḫāž+ar+i-a
niġāri	niġari
kibe	kippe
pārili	pārili
ariliffa	arili-iffe-a
tūnāin	ton-i-ai-n
amūminēva	amm+u+mmi-ne-va
nešḫina	nešḫi-na
kalūwa	kal-u-a
enummē	enummē
ḫežāla	ḫežāli-a
malāe	mali-ae
purrābi	purra-ve
uruwa	ur-u-a
abalġad	abal+ġe-a=d
kāvāl	kāv-a=lla
alvovade	alv+o+vade
assusḫi	assusḫi
ugulgari	ug+ol+gar-i
purammippuwan	pura+mmi-iffu-va=an
murrina	mōrri-na
kādukku	kad-o-kko
āššaniba	āššani-i-va
sulōdōēn	sul+ud-o-en
šellini	šelli-ne
eġliġi	eġl+i+ġe
itkulāuž	itk-ol-aw-ž
kišḫiža	kešḫ-iž-a
ubindain	ubindi-ae=n
šīġāttāma	šīġ-a=tta=ma
itkulēž	itk-o-l-ež
faġruža	faġr+o+že-a
kumarbi	kumarve
awtaluman	audalumma=n
abēdilla	ave-ž=dilla
tarni	tarni
pella	pili-na
šidilāi	šid-i-l-ai
nōvān	nōvi-a=an
kapšuġāl	kapš-oġ-a=l
kibašši	kev-a-šše
kērāžuž	ker-až-o-ež
sītkūli	sitk-ol-i
uġi	uġi
itkāl	itk-a=l
ḫōdemae	ḫōd-i+m+ai
ḫōīb	ḫō-i-b
ištani	ištani
fudōža	fud+ō+že-a
ḫaburna	ḫavor+ni-a
šumminnam	šummi-n=nna=m
ḫōžellāin	ḫō-ož-ill-i-ai-n
kigaduwamma	kig-ad-u-a=mma
aġāštedu	aʾ-ašt-ed-o
tūniani	tūni-i-ane
īštennān	ište=nna=an
tabirīma	tab+i+re-i=ma
nīnādum	nīn-ad-o-m
naḫḫili	naḫḫ-i-le
šēri	šēr-i
šullūbri	šullūbri
aružellāim	ar-ož-ill-i-ai=m
pairima	pa+i+re-i=ma
taġāži	taġ+ā+že
tarve	tarve
šiai	šiye-ae
šadōm	šad-o-m
unušḫuž	un+o+šḫe-ož
nāēnāža	nāie-na-až-a
ḫabaḫḫōbada	ḫab+aḫḫ+ō+bade-a
malāe	mal-i-ai
šialiribuwi	šial-i-re-iffu-ve
šeġla	šeġ+l-a
sabri	sabri
kilānab	kil+ān-a-b
taržuwanažāe	taržuwa+ni-na-až-ve-ae
šārinevi	šāri-ne-ve
kadilēž	kad-i-l-ež
ulliva	oli-ne-va
kažluž	kažl-o-ež
nabarriba	nab+ar+i-ne-va
ḫuburridal	ḫuburi-ne-da=l
edežūda	idi-ž-oda
šumi	šumi-i
ēarži	ēyar+že
tāndib	tān-d-i-b
idīe	id-i-en
išḫaran	išḫara=an
šarriaž	šarri-i-až
talāvaže	talāv+a+že
tabilianiž	tab+ilia-ne-ž
iningaldāe	ennigaldi-ae
tūrīe	tūrī+e
ōššunila	ōšš-on-i=lla
pāriža	pār-iž-a
agōž	ago-ž
faeli	faeli
šiāma	šī-a=ma
tēama	tē-i-a=ma
umve	umve
putkīda	fut+ki-da
piduġu	pīd+uġ-o
āšḫa	āšḫi-a
uššiġina	ušš+i+ġe-na
fāġie	pāġi
šūrūži	šūr-ož-i
kēriuššininna	kēr-i-o-šše-ne-nna
kumrie	kumri-e
mīrrīž	mīr-i-l-ež
pālukku	pal-o-kko
šimiginel	šimige-ne=l
ḫōmarrinin	ḫōmari-ne-n
ibi	ibi
tibāġa	tibāġi-a
šarrinež	šarri-ne-ž
šia	šiye
kilum	kēl-o=m
pālā	pāli-a
irdīž	irde-i-ž
ērbirippi	ērbiri-iffe
idia	idi-i-a
abiaža	avi-i-až-a
nēbāža	nēb+ā+že-a
suppinibinin	suppi-ne-ve-ne-n
ḫižmini	ḫižmi-ne
kivudu	kev-ud-u
kāssi	kāze
nālliž	nāli-ne-ž
itkužalla	itk-o-ež-a=lla
mādai	mādi-ae
ḫōštivuwām	ḫōšti-iffu-va=m
naḫḫaššina	naḫḫ+a+šše-na
ḫudenāža	ḫōde-na-až-a
šēnna	šena-na
magaldinibināža	magaldi-ne-ve-na-až-a
nābima	nave-i=ma
immarvaġināže	immarvaġe-na-až-ve
ābēni	ābē-ne
šendiššēni	šindi+ššē-ne
pōduštabāl	fud-ošt-a-b-a=l
tiveniž	tive-ne-ž
ue	uwi
teffe	teffe
arūžu	ar-ož-o
pērġuba	pērġubi-a
kadib	kad-i-b
pillanēva	pilla-ne-va
kuraḫḫa	kur+a+ḫḫe-a
tānni	tanni
fāra	fāri-a
kažla	kažli-a
tapšōbādi	tapš+ō+bāde
tažummi	taž-umme
tāni	tān-i
maruži	maroži
tarmānuž	tarm+a+ni-ož
kurannia	kur-ann-i-a
idia	id-i-a
šeġōrnida	šeġor+ni-da
šōvalaž	šowala-ž
feva	fē-va
ḫalze	ḫalze
mužūni	muž+u+ni
āmi	am-i
šēndeššini	šēnde+šše-ne
kīškūppēnida	kīšk+ūpp+ē-ne-da
abarim	ab+ar+i=m
puweni	powe-ne
kažluwa	kažl-u-a
šendurum	šend-ur-o-m
nūbīnīn	nubi-ne-n
apšeneve	apše-ne-ve
šūwarudanam	šūwarudi-a=n=m
tešši	tešše
šōima	šō-i=ma
īllulia	īll+uli-i-a
pudulināi	fud+ol+i+ni-ae
aiwpi	aiu-ve
šaġadnadi	šaġad+n+adi
ilamdōġi	ilamd+ō+ġe
pōssu	pōss-o
iža	iž-a
pabni	pab+ni
mūžib	mūž-i-b
ōlluḫḫa	ōll+o+ḫḫe-a
tāni	tāni
kiaži	kiaže
kādala	kād+ali-a
purburnīe	pur+bur+ni-e
kumri	kumri
šeġira	šeġiri-a
tebāe	tive-ae
ušḫunāe	ošḫo+ni-ae
kūžaġ	kužaġ
tōġadužilāi	tōġ-ad-ož-i-l-ai
ivi	ivi
ōrgini	ōrgi-ne
pāru	pār-u
immarrida	immari-ne-da
naḫḫaššina	naḫḫ-a-šše-na
āšte	āšte
kivožuž	kev+o+že-ož
ērġima	ērġ-i=ma
forima	fōri=ma
ēlgāe	ēlgi-ae
adāllēlla	adāl-ne-e=lla
taduġeban	tado.ḫeba=an
šōnia	šōn-i-a
itkužellandin	itk-ož-ill-and-i-n
ḫuburriba	ḫuburi-ne-va
niviriffi	niviri-iffe
ēblava	ēbla-va
eguššāe	eg+o+šše-ae
šerženi	šer+že-ne-e
agulla	ag-o=lla
ḫademinin	ḫademi-ne-n
šiglademma	šigl+ade=mma
ḫōidan	ḫō-id-en
šūranni	šūr-i-anni
tarāi	tāri-ae
šurba	šurbi-a
teġiw	teġ-i-o
šidarnai	šid+ar+ni-ae
pižāišpānel	pižāiš.pā-ne=l
šinima	šini=ma
šenda	šindi-a
talmōvab	talmōv-a-b
aškōlāe	ašk-o-l-ai
tarria	tarri-i-a
anamminna	anammi=nna
uilanum	uw-il-an-o-m
tanna	tanni-a
užunnibina	už+o+ni-ne-ve-na
ušḫunnibāl	ošḫo+ni-ne-ve=l
kivirāžan	kevri-na-až-a=n
ammummi	amm-umme
šeġrulida	šeġr-ol-ed-a
kulamōrrinibi	kul+am+ō+rre-ne-ve
ēbrešši	evr+in+že
agarġu	ag+ar+ġ-o
pabanniž	paba+ni-ne-ž
agūmālla	ag-o-m-a=lla
ummandu	umm-an-id-o
ubindain	ub-ind-i-ai-n
ḫabānab	ḫabān-a-b
ḫōžīw	ḫōž-i-o
anaštikki	an-ašt-i-kki
aliab	alē-a-b
kulmurina	kulm+o+re-na
šōe	šōe
šatteda	šātt-ed-a
tagižina	tage+že-na
īnnannam	īnna=nna=m
abi	avi
tugalla	tugali-na
āġridal	aġri-da=l
taržuwannida	taržuwa+ni-ne-da
pudulimašši	fud+ol+i+m+a+šše
piga	pig-a
ḫūžia	ḫūž-i-a
kudukku	kud-o-kko
uminīe	omini-e
fouguġūm	fog-oġ-o-m
agašši	ag+a+šše
māri	mar-i
mānnin	māni-ne-n
šaġurunuwaba	šaġurunuwa-va
nērne	nēr+ni
katkini	kat+ki-ne
nāldiri	nāldiri
ananareškinibāe	an+an+ar+i+ški-ne-ve-ae
nēli	nēli
ivā	iv-a
kuttae	kutte-ae
šēža	šēži-a
mādillilla	mādili-ne-e=lla
enāe	eni-ae
madōli	mād-ol-i
šabinuwaġinibina	šabinuwa-ġe-ne-ve-na
ḫuišša	ḫo+i+šše-a
pārellandin	pār-ill-and-i-n
kubāġinel	kubāġi-ne-e=l
urgi	urgi
šiēž	šiye-ž
kutteni	kutte-ne
fadeġib	fad-eġ-i-b
ḫōbiž	ḫōbi-ž
pagammuž	pag+a+mme-ož
ḫuruššibināža	ḫur+o+šše-ve-na-až-a
pāššaḫḫi	pāšš+aḫḫ+i
šīra	šīr-a
tapti	tapti
pāžida	fāži-da
ḫāe	ḫa-i
āštīva	āšte-i-va
ḫiraġella	ḫir-aġ-i=lla
ažarbaššina	až+arb+a+šše-na
iža	iža
kuzuġi	kuz+o+ġe
assusḫa	assusḫi-a
ḫōdra	ḫōdri-a
maēttana	maētta+ni-a
silmanidab	silm+an-ed-aw
sūgētteni	sūgētte-ne
šelluššae	šell+o+šše-ae
maġāra	maġ-ar-a
ḫutḫi	ḫutḫi
kumminivož	kumme+ne-ve-ž
ḫiaruḫḫina	ḫi+ar+o+ḫḫe-na
alōlašši	al-ol-a-šše
umbu	umbu
tīdiw	tīd-i-o
arulim	ar-ol-i=m
temiġa	temiġi-a
ištanin	ištani-n
allanzōn	allanzō=n
mužunna	muž+u+ni-na
ašḫō	āšḫ-o
itkaišša	itk-i-ai-ž=nna
sabalgina	sabal+gi-na
šināi	šine-ae
arōlullub	ar-ol-ull-o-m
nakkuppu	nakk-uffu
nabarbin	nabarbi=n
turbōri	turb+ō+re
itkulāež	itk-o-l-ai-ž
tedera	tederi-a
patteni	patte-ne
eġinen	eġi-ne-n
ḫāibād	ḫa-i-b-a=d
nāwunnebina	nau+ni-ne-ve-na
kungallē	kungallē
šažanōva	šaž-an-o-eva
nūduža	nūd-ož-a
tapteni	tapti-ne
ḫebapta	ḫebad-va
šuġa	šuʾi-a
ḫīdūri	ḫīd-ur-i
fēnāna	fēn-an-a
fel	fē-lla
fažamma	faž-a=mma
ḫapsuri	ḫapsōri
miržāl	mirž-a=l
pirundōġa	pirund+ō+ġe-a
ḫaniri	ḫan+i+re
tūrīe	tūri-i-e
itkaštib	itk-ašt-i-b
tunidu	ton-id-o
pērġēna	pēri-ġe-na
ižibāi	iži-ve-ae
nigalōba	nigalo-va
šukkuttatta	šukk+utt-a=tta
ūmbiža	umb-iž-a
ḫažarāe	ḫāž+ar+i-ae
ḫēri	ḫeri
kivērāšta	kevri-na-až-da
šōraššella	šōr-a-šše=lla
aštuḫḫinažāi	ašt+o+ḫḫe-na-až-ve-ae
abibaž	abi-iffe-až
nuḫḫaže	nuḫḫ+a+že
nabarbiž	nabarbi-ž
ižaž	iž-až
ḫellibādi	ḫill-i-vade
uniġiani	un+i+ġe-i-ane
tēama	te-i-a-ma
