form	segmentation	feats
kutte	kud-id-en	verb;PL.A;3JUSS
kutteni	kutte-ne	noun;ABL/INS
kuttivenna	kuttive+ni-na	noun;RELAT.PL.ABS
kuzuġi	kuz+o+ġe	noun;ABS
kuzuġi	kuz-oġ-i	verb;oġ;ANTIP
kužapḫi	kužaġ-ve	noun;GEN
kužuškuženie	kuž+u+šk+o+že-ne	noun;ABL/INS
kābarra	kābari-na	noun;RELAT.PL.ABS
kādala	kād+ali-a	noun;ESS
kādala	kad-al-a	verb;al;INT
kāde	kāde	noun;ABS
kādukku	kad-o-kko	verb;INT;NEG
kādāšti	kad-ašt-i	verb;RES;ANTIP
kādōva	kad-u-a	verb;MED;3A.SG
kādūlāīn	kad-o-l-ai-n	verb;MOD.PAT;l;PURP;n
kāla	kāli-a	noun;ESS
kāla	kāl-a	verb;INT
kāllež	kāli-ne-ž	noun;RELAT.SG;ERG
kāmmi	kamme	noun;ABS
kāni	kāni	noun;ABS
kāri	kāri	noun;ABS
kāri	kar-i	verb;ANTIP
kāssi	kāze	noun;ABS
kāvāl	kāvi-a=l	noun;ESS;3PL.ABS
kāvāl	kāv-a=lla	verb;INT;3PL.ABS
kāzuž	kāze-ož	noun;EQU
kāža	kāži-a	noun;ESS
kāža	kāž-a	verb;INT
kāžukku	kāž-o-kko	verb;INT;NEG
kēažima	kiaže=ma	noun;ABS;CON
kēba	kēbi-a	noun;ESS
kēba	ke-i-eva	verb;MOD.AG;POT
kēbillāžuž	keb+li-na-až-ož	noun;RELAT.PL;PL;ERG
kēbina	kēbi-na	noun;RELAT.PL.ABS
kēbini	kēbi-ne	noun;ABL/INS
kēda	kēdi-a	noun;ESS
kēda	kēd-a	verb;INT
kēdadužei	kēd+ad+o+že-i	noun;3POSS.SG.ABS
kēladi	kēl-ad-i	verb;ad;ANTIP
kēlula	kēl-ol-a	verb;ol;3A.SG
kēlġēdeni	kēlġēdi-ne	noun;ABL/INS
kēnnādal	kēnn+ār+i-a=l	noun;ESS;3PL.ABS
kēnnādal	kēnn-ad-a=l	verb;ad;INT;3PL.ABS
kēriuššininna	kēr-i-o-šše-ne-nna	verb;TR;2A.SG;NMLZ;RELAT.SG;EQU2
kērāžuž	ker-až-o-ež	verb;až;MOD.PAT;OPT
kērēni	kēri-e-ne	noun;3POSS.SG;ABL/INS
kēva	kevi-a	noun;ESS
kēvirrām	kevri-na=m	noun;RELAT.PL.ABS;CON
kēški	keški	NUM;ABS
kīdāba	kīdāvi-a	noun;ESS
kīdāvae	kīdāvi-ae	noun;INS
kīgi	kīge	NUM;ABS
kīgiāža	kīge-i-až-a	NUM;3POSS;PL;DAT/ESS
kīli	kili	noun;ABS
kīli	ke-i-le	verb;MOD.AG;1JUSS
kīrenzamma	kire+n+ze-a=mma	noun;ESS;CON
kīruġida	kir-oġ-ed-a	verb;oġ;FUT;3A.SG
kīzirriva	kīziri-ne-va	noun;RELAT.SG;DAT
kīzirženi	kīzir+že-ne	noun;ABL/INS
kīškūppēnida	kīšk+ūpp+ē-ne-da	noun;RELAT.SG;DIR
kōlež	kol-i-ež	verb;MOD.AG;OPT
kōlma	kōlmi-a	noun;ESS
kōlma	kōlm-a	verb;INT
kōmura	kōmuri-a	noun;ESS
kōmura	kōm-ur-a	verb;ur;INT
kōppannal	kōpp+a+nni-a=l	noun;ESS;3PL.ABS
kōruppi	kōruppi	noun;ABS
kōruppi	kōr-upp-i	verb;upp;ANTIP
kūdadena	kūdade-na	noun;RELAT.PL.ABS
kūdaīž	kud-i-ai-ž	verb;MOD.AG;PURP;ž
kūdu	kud-o	verb;MOD.PAT
kūgukku	kūg-o-kko	verb;INT;NEG
kūliamma	kul-i-a-mma	verb;TR;3A.SG;NEG
kūlīna	kuli-na	noun;RELAT.PL.ABS
kūmdenivenin	kūm+de-ne-ve-ne-e=n	noun;RELAT.SG;GEN;RELAT.SG;DIR/LOC;3SG.ABS
kūmurrida	kūmuri-ne-da	noun;RELAT.SG;DIR
kūninin	kune-ne-e=n	noun;RELAT.SG;DIR/LOC;3SG.ABS
kūžaġ	kužaġ	noun;ABS
kūžuġ	kužuġ	noun;ABS
lablaḫḫinež	labla+ḫḫe-ne-ž	noun;RELAT.SG;ERG
lablaḫḫini	labla+ḫḫe-ne	noun;ABL/INS
lablaḫḫinida	labla+ḫḫe-ne-da	noun;RELAT.SG;DIR
lallarrež	lallari-ne-ž	noun;RELAT.SG;ERG
laġlaḫḫini	laġlaḫḫi-ne	noun;ABL/INS
laġlaḫḫinida	laġlaḫḫi-ne-da	noun;RELAT.SG;DIR
lullimbara	lull+i+mb+ar+i-a	noun;ESS
lullueneve	lullue-ne-ve	noun;RELAT.SG;GEN
lēli	leli	noun;ABS
madaffa	mādi-a=ffa	noun;ESS;2PL.ABS
madla	madli-a	noun;ESS
madla	mad-l-a	verb;l;INT
madōli	mād-ol-i	verb;ol;ANTIP
magaldenibi	magaldi-ne-ve	noun;RELAT.SG;GEN
magaldiniba	magaldi-ne-va	noun;RELAT.SG;DAT
magaldinibināža	magaldi-ne-ve-na-až-a	noun;RELAT.SG;GEN;RELAT.PL;PL;DAT/ESS
magaldinibād	magaldi-ne-va=d	noun;RELAT.SG;DAT;1SG.ABS
mala	mali-a	noun;ESS
mala	mal-a	verb;INT
malladael	mall+ade-ae=l	noun;INS;3PL.ABS
malvāži	malvāži	noun;ABS
malāe	mali-ae	noun;INS
malāe	mal-i-ai	verb;MOD.AG;PURP
mana	man-a	PRON;ESS
mandukkaella	mandukki-ae=lla	noun;INS;3PL.ABS
mandukkimma	mandukki=mma	noun;ABS;2SG.ABS
mannamištun	mannamištu=n	noun;ABS;3SG.ABS
manza	man-z-a	PRON;PL;DAT/ESS
manzōra	man-z-ora	PRON;PL;COM
manzōrāma	manu-ž-ora=ma	PRON;PL;COM;CON
manzōž	man-z-ož	PRON;PL;ERG
marašte	marašte	noun;ABS
marašte	mar-ašt-i	verb;RES;ANTIP
mardamanni	mardam+a+ni-ne	noun;ABL/INS
marešḫi	mar+i+šḫe	noun;ABS
marninel	marne-ne-e=l	noun;RELAT.SG;DIR/LOC;3PL.ABS
maruda	mar-ud-a	verb;ud;3A.SG
maruži	maroži	noun;ABS
maruži	mar-ož-i	verb;PST;ANTIP
mazanuri	mazanuri	noun;ABS
maēttana	maētta+ni-a	noun;ESS
maġirri	maġiri-ne-e	noun;RELAT.SG;DIR/LOC
maġitti	maġitti	noun;ABS
maġāra	maġ-ar-a	verb;ITER;3A.SG
maġōrri	maġōri-ne	noun;ABL/INS
mažagum	maž-ag-o-m	verb;ag;TR.PFV;3A.SG
melaḫḫum	mel+aḫḫ-o-m	verb;TR.PFV;3A.SG
meġa	meġ-a	verb;INT
migummi	mig-umme	verb;INF.ABS
miluladilāe	mil-ol-ad-i-l-ai	verb;ol;ad;MOD.AG;l;PURP
milulādu	mil-ol-ad-o	verb;ol;ad;MOD.PAT
mini	mini	noun;ABS
mirešḫini	mir+e+šḫi-ne	noun;ABL/INS
mirulavāl	mir+ul+avi-a=l	noun;ESS;3PL.ABS
miržāe	mirži-ae	noun;INS
miržāe	mirž-i-ai	verb;MOD.AG;PURP
miržāl	mirži-a=l	noun;ESS;3PL.ABS
miržāl	mirž-a=l	verb;INT;3PL.ABS
miġōm	meġ-o-m	verb;TR.PFV;3A.SG
munuġuželāi	mun-oġ-ož-i-l-ai	verb;uġ;ož;MOD.AG;l;PURP
munuž	muni-ož	noun;EQU
munuž	mun-o-ež	verb;MOD.PAT;OPT
munġīe	munġi-e	noun;3POSS.SG.ABS
munġīe	munġ-i-en	verb;MOD.AG;3JUSS
murrina	mōrri-na	noun;RELAT.PL.ABS
murriniba	mōrri-ne-va	noun;RELAT.SG;DAT
murrāe	murri-ae	noun;INS
murrāe	mor-i-l-ai	verb;MOD.AG;l;PURP
murrīe	murri-i-e	noun;3POSS.SG;DIR/LOC
murġulišta	murġulišti-a	noun;ESS
murġulišta	murġ-ol-išt-a	verb;ol;RES;3A.SG
muwiri	mū+i+re	noun;ABS
mužuniba	mužoni-va	noun;DAT
mužuniž	mužoni-ž	noun;ERG
mužunna	muž+u+ni-na	noun;RELAT.PL.ABS
mužunni	mužunni	noun
mužunniba	mužoni-ne-va	noun;RELAT.SG;DAT
mužōlōm	mūž-ol-o-m	verb;ol;TR.PFV;3A.SG
mužūni	muž+u+ni	noun;ABS
mādai	mādi-ae	noun;INS
mādaštab	mād-ašt-a-b	verb;RES;INT;b
mādena	mādi-na	noun;RELAT.PL.ABS
mādi	mādi	noun;ABS
mādi	mād-i	verb;ANTIP
mādida	mādi-da	noun;DIR
mādie	mādi-e	noun;3POSS.SG.ABS
mādillilla	mādili-ne-e=lla	noun;RELAT.SG;DIR/LOC;3PL.ABS
mādillilla	mād-il-i-le=lla	verb;il;MOD.AG;1JUSS;3PL.ABS
mādinaža	mādi-na-až-a	noun;RELAT.PL;PL;DAT/ESS
mādinibi	mādi-ne-ve	noun;RELAT.SG;GEN
māduwa	mād-u-a	verb;MED;3A.SG
māli	mali	noun;ABS
māli	māl-i	verb;ANTIP
mālōžēna	māl+ō+žē-na	noun;RELAT.PL.ABS
māmmurinie	mamm+o+re-ne-e	noun;RELAT.SG;DIR/LOC
māmurinibi	mām+o+re-ne-ve	noun;RELAT.SG;GEN
mān	mā=an	CONJ;CON
mānal	man-a=l	PRON;ESS;3PL.ABS
mānga	mān+g+a	PRON
mānie	mānne	PRON;ABS
mānnin	mānne=n	PRON;ABS;3SG.ABS
mānnin	māni-ne-n	noun;RELAT.SG;ABL/INS
mānnin	mānn-e=n	verb;STAT;3SG.ABS
mānnubōr	mānn-o-vor	verb;INT;NEG
mānnuwalli	mānnuwali-ne	noun;ABL/INS
mānuballa	manu-va=lla	PRON;DAT;3PL.ABS
mānuda	man-oda	PRON;DIR
mānura	manu-ra	PRON;COM
mānura	mān+o+re-a	noun;ESS
mānuž	manu-ž	PRON;ERG
mānōl	man-ož=l	PRON;ERG;3PL.ABS
māri	mari	noun;ABS
māri	mar-i	verb;ANTIP
mātta	mād-d-a	verb;d;INT
māttal	mād-d-a=l	verb;d;INT;3PL.ABS
māġri	māġri	noun;ABS
māški	māški	noun;ABS
mēgi	mēgi	noun;ABS
mēginella	mēgi-ne-ž=lla	noun;RELAT.SG;ERG;3PL.ABS
mēginež	mēgi-ne-ž	noun;RELAT.SG;ERG
mēgummi	mēg-umme	verb;INF.ABS
mērež	mēri-i-ž	noun;3POSS.SG;ERG
mērež	mēr-i-ež	verb;MOD.AG;OPT
mīrrīž	mīri-ne-ž	noun;RELAT.SG;ERG
mīrrīž	mīr-i-l-ež	verb;MOD.AG;l;OPT
mōrri	mōri-ne	noun;ABL/INS
mōrrinibādel	mōrri-ne-va=dil	noun;RELAT.SG;DAT;1PL.ABS
mūgižanun	mūgižanun	noun;ABS
mūnuriminida	mūnurimi-ne-da	noun;RELAT.SG;DIR
mūžib	mūž-i-b	verb;ANTIP;b
mūžēdā	mūž-ed-a	verb;FUT;3A.SG
nabarbi	nabarbi	noun
nabarbin	nabarbi=n	noun;ABS;3SG.ABS
nabarbinažuž	nabari-ve-na-až-ož	noun;GEN;RELAT.PL;PL;ERG
nabarbinibi	nabarbi-ne-ve	noun;RELAT.SG;GEN
nabarbinida	nabarbi-ne-da	noun;RELAT.SG;DIR
nabarbinie	nabarbi-ne	noun;ABL/INS
nabarbiž	nabarbi-ž	noun;ERG
nabarriba	nab+ar+i-ne-va	noun;RELAT.SG;DAT
nabarvināžuž	nabarbi-ve-na-až-ož	noun;GEN;RELAT.PL;PL;ERG
nabnida	nabni-da	noun;DIR
nagēri	nagēri	noun;ABS
naiġēna	na+i+ġē-na	noun;RELAT.PL.ABS
nakkašḫa	nakk+a+šḫe-a	noun;ESS
nakkašḫam	nakk+a+šḫe-a=m	noun;ESS;CON
nakki	nakk-i	verb;TR.IMP
nakkidaššu	nakk-ed-aššo	verb;FUT;2A.PL
nakkidāōž	nakk-ed-aw-ž	verb;FUT;1A;PL
nakkidūwa	nakk-ed-u-a	verb;FUT;MED;3A.SG
nakkima	nakk-i=ma	verb;TR.IMP;CON
nakkiwfošša	nakk-i-uffu-ž=nna	verb;TR;1A.NEG;PL;3SG.ABS
nakkiōffuž	nakk-i-uffu-ž	verb;TR;1A.NEG;PL
nakkiōššunā	nakk-i-oššo=nna	verb;TR;2A.PL.NEG;3SG.ABS
nakkuppu	nakk-uffu	verb;1A.SG.NEG
nakti	nakti	noun;ABS
nakti	nak-d-i	verb;d;ANTIP
naktib	nakti-v	noun;2POSS.SG.ABS
namla	namli-a	noun;ESS
nammallāža	namli-na-až-a	noun;RELAT.PL;PL;DAT/ESS
namniva	namni-va	noun;DAT
nanādum	nān-ad-o-m	verb;ad;TR.PFV;3A.SG
natkinin	natki-ne-n	noun;RELAT.SG;ABL/INS
natkāmmannāža	natk+āmm+a+ni-na-až-a	ADJ;RELAT.PL;PL;DAT/ESS
natḫinen	natḫi-ne-n	noun;RELAT.SG;ABL/INS
naunnaža	nau+ni-na-až-a	noun;RELAT.PL;PL;DAT/ESS
naunnibi	nau+ni-ne-ve	noun;RELAT.SG;GEN
navanida	navani-da	noun;DIR
navanida	nav-an-ed-a	verb;CAUS;FUT;3A.SG
navari	navari	noun;ABS
nave	nave	noun;ABS
nave	nav-i	verb;TR.IMP
naveda	nave-da	noun;DIR
naveda	nav-ed-a	verb;FUT;3A.SG
navenež	nave-ne-ž	noun;RELAT.SG;ERG
nawnībuwe	nau+ni-i-e	noun;3POSS.SG;DIR/LOC
nawunnež	nau+ni-ne-ž	noun;RELAT.SG;ERG
naēnāža	naīa-na-až-a	noun;RELAT.PL;PL;DAT/ESS
naġmazulel	naġmazuli-ž=l	noun;ERG;3PL.ABS
naīanie	nai-i-ane	noun;3POSS.SG;ABL/INS
našpa	našpi-a	noun;ESS
našpa	našp-a	verb;INT
nažāgi	nažāgi	noun;ABS
nažāgi	naž-ag-i	verb;ag;ANTIP
naḫḫa	naḫḫ-a	verb;INT
naḫḫab	naḫḫ-a-b	verb;INT;b
naḫḫaššina	naḫḫ+a+šše-na	noun;RELAT.PL.ABS
naḫḫaššina	naḫḫ-a-šše-na	verb;INT;NMLZ;RELAT.PL.ABS
naḫḫili	naḫḫ-i-le	verb;MOD.AG;1JUSS
naḫḫilāi	naḫḫ-i-l-ai	verb;MOD.AG;l;PURP
naḫḫubaduž	naḫḫ+o+vade-ož	ADJ;EQU
naḫḫuža	naḫḫ+o+že-a	noun;ESS
naḫḫuža	naḫḫ-ož-a	verb;PST;3A.SG
naḫḫōtḫida	naḫḫ+ō+tḫe-da	noun;DIR
naḫḫōžu	naḫḫ-ož-u	verb;PST;MED
negri	negri	noun;ABS
nelġa	nelġi-a	noun;ESS
nelġa	nelġ-a	verb;INT
neri	nera-i	noun;3POSS.SG.ABS
neri	nēr-i	verb;ANTIP
nerubādi	nir+o+bāde	ADJ;ABS
nerēda	nera-e-da	noun;3POSS.SG;DIR
nerīda	nera-i-da	noun;3POSS.SG;DIR
neġirna	neġer+ni-a	noun;ESS
nešša	nešši-a	noun;ESS
nešši	nešši	noun;ABS
neššib	nešši-v	noun;2POSS.SG.ABS
neššidal	nešši-da=l	noun;DIR;3PL.ABS
neššēna	nešši-na	noun;RELAT.PL.ABS
nešḫina	nešḫi-na	noun;RELAT.PL.ABS
nibra	nibri-a	noun;ESS
niga	nigi-a	noun;ESS
niga	nig-a	verb;INT
nigalluwe	nigallu-ve	noun;GEN
nigalōba	nigalo-va	noun;DAT
nikkal	nikkal	noun;ABS
nikkalul	nikkal-ož=l	noun;ERG;3PL.ABS
nilōž	nili-ož	noun;EQU
nilōž	nil-o-ež	verb;MOD.PAT;OPT
ninuwava	ninuwa-va	noun;DAT
ninuwaġinešša	ninuwa+ġe-ne-ž=nna	ADJ;RELAT.SG;ERG;3SG.ABS
ninuwāve	ninuwa-ve	noun;GEN
nippilōva	nippilova-a	noun;ESS
nirida	neri-da	noun;DIR
nirāe	neri-ae	noun;INS
nirġa	nirġi-a	noun;ESS
niržida	nir+že-da	ADJ;DIR
niviriffi	niviri-iffe	noun;1POSS.SG.ABS
nivōžellandin	niv-ož-ill-and-i-n	verb;ož;ill;PL.A;MOD.AG;n
niġarra	niġari-na	noun;RELAT.PL.ABS
niġarži	niġar+že	noun;ABS
niġe	niġe	noun;ABS
niġeffi	niġe-iffe	noun;1POSS.SG.ABS
niġāri	niġari	noun;ABS
nubin	nubi-n	NUM;ABL/INS
nuburna	nubur+ni-na	noun;RELAT.PL.ABS
nudanzaġīvan	nudan+z+a+ġe-i-va=an	noun;3POSS.SG;DAT;CON
nuladenež	nul+ade-ne-ž	noun;RELAT.SG;ERG
numribi	numri-i-ve	noun;3POSS.SG;GEN
nurandiġinina	nurandiġi-nna	noun;EQU2
nurāšše	nur+ā+šše	noun;ABS
nutkiġa	nutk+i+ġe-a	noun;ESS
nuwinduž	nū-ind-o-ež	verb;PL.A;MOD.PAT;OPT
nuġunab	nuġ+o+ni-a=m	noun;ESS;2SG.ABS
nuḫḫaže	nuḫḫ+a+že	noun;ABS
nābima	nave-i=ma	noun;3POSS.SG.ABS;CON
nābu	nāb-u	verb;MED
nāinažuž	nai-na-až-ož	noun;RELAT.PL;PL;ERG
nāldiri	nāldiri	noun;ABS
nāli	nāli	noun;ABS
nāli	nāl-i	verb;ANTIP
nālli	nāli-ne	noun;ABL/INS
nālliž	nāli-ne-ž	noun;RELAT.SG;ERG
nānašti	nān-ašt-i	verb;RES;TR.IMP
nānidi	nān-ed-i	verb;FUT;ANTIP
nāninduža	nān-ind-o-ež=nna	verb;PL.A;MOD.PAT;OPT;3SG.ABS
nāniž	nāni-ž	noun;ERG
nāniž	nān-i-ež	verb;MOD.AG;OPT
nārišše	nāri+šše	NUM;ABS
nātḫa	natḫi-a	noun;ESS
nāuffa	nā-uff-a	verb;uff;INT
nāva	nav-a	verb;INT
nāwunnebina	nau+ni-ne-ve-na	noun;RELAT.SG;GEN;RELAT.PL.ABS
nāwunni	nāū+nni	noun;ABS
nāwunnina	nāū+nni-na	noun;RELAT.PL.ABS
nāēniba	nāie-ne-va	noun;RELAT.SG;DAT
nāēnāža	nāie-na-až-a	noun;RELAT.PL;PL;DAT/ESS
nāžarni	nāž+ar+ni	noun;ABS
nēbāža	nēb+ā+že-a	noun;ESS
nēbāži	nēb+ā+že	noun;ABS
nēduġēnež	nēd+o+ġē-ne-ž	noun;RELAT.SG;ERG
nēla	nēli-a	noun;ESS
nēlaban	nēla-v-a=an	noun;2POSS.SG;ESS;CON
nēlaban	nēl-a-b=an	verb;INT;b;CON
nēli	nēli	noun;ABS
nēlla	nēli-na	noun;RELAT.PL.ABS
nēra	nera	noun;ABS
nēra	nēr-a	verb;INT
nērara	nera-ra	noun;COM
nēravi	nera-ve	noun;GEN
nērida	nēr-ed-a	verb;FUT;3A.SG
nērne	nēr+ni	noun;ABS
nēġārža	nēġār+že-a	noun;ESS
nīnubapḫi	ninuwa-ġe-ve	noun;ADJ;GEN
nīnādum	nīn-ad-o-m	verb;ad;TR.PFV;3A.SG
nīrib	neri-v	noun;2POSS.SG.ABS
nīrib	nir-i-b	verb;ANTIP;b
nīvarīuž	nīv+ar+i-i-ož	noun;3POSS.SG;EQU
nīvāži	nīv+ā+že	noun;ABS
nīġriažīel	nīġr+i+a+že-i=l	noun;3POSS.SG.ABS;3PL.ABS
nōdiri	nōdiri	noun;ABS
nōial	noi-a=l	noun;ABS;EPNTH;3PL.ABS
nōriġini	nor+i+ġe-ne	noun;ABL/INS
nōvarēm	nōv+ar+ē=m	noun;ABS;CON
nōvān	nōvi-a=an	noun;ESS;CON
nōġaššeni	nōġašše-ne	noun;ABL/INS
nōġinduž	nōġ-ind-o-ež	noun;PL.A;MOD.PAT;OPT
nūbi	nubi	NUM;ABS
nūbīnīn	nubi-ne-n	NUM;RELAT.SG;ABL/INS
nūdu	nūd-o	verb;MOD.PAT
nūduža	nūd+o+že-a	noun;ESS
nūduža	nūd-ož-a	verb;PST;3A.SG
nūma	nūmi-a	noun;ESS
nūma	nūm-a	verb;INT
nūrbiniž	nūrbi-ne-ž	noun;RELAT.SG;ERG
nūwannīel	nūv+a+ni-ne-ž=l	noun;RELAT.SG;ERG;3PL.ABS
nūwarrīvan	nūv+ar+i-ne-va=an	noun;RELAT.SG;DAT;CON
pabanna	paba+ni-na	noun;RELAT.PL.ABS
pabannaže	paba+ni-na-až-ve	noun;RELAT.PL;PL;GEN
pabannažuž	paba+ni-na-až-ož	noun;RELAT.PL;PL;ERG
pabanni	paba+ni	noun;ABS
pabanniž	paba+ni-ne-ž	noun;RELAT.SG;ERG
pabni	pab+ni	noun;ABS
padni	padni	noun;ABS
padni	padn-i	verb;ANTIP
pagammuž	pag+a+mme-ož	noun;EQU
paibiblan	paib.ebla=an	noun;ABS;CON
paibiblaž	paib.ebla-ž	noun;ERG
pailianež	pa+ilia-ne-ž	ADJ;RELAT.SG;ERG
paini	pāini	noun;ABS
painibanel	paini-v-ane=l	noun;2POSS.SG;ABL/INS;3PL.ABS
pairibuwi	pa+i+re-iffu-ve	noun;1POSS.SG;GEN
pairima	pa+i+re-i=ma	noun;3POSS.SG.ABS;CON
palaġa	palaġi-a	noun;ESS
palaġa	pal-aġ-a	verb;aġ;INT
palia	pal-i-a	verb;TR;3A.SG
paliu	pal-i-o	verb;TR;2A.SG
pandari	pand+ar+i	noun;ABS
pandari	fand-ar-i	verb;ITER;ANTIP
pandarinna	fand+ar+i+nni-a	noun;ESS
pandiažal	fandi-i-až-a=l	noun;3POSS;PL;DAT/ESS;3PL.ABS
pannira	panniri-a	noun;ESS
paria	pāri-i-a	noun;3POSS.SG;ESS
paria	par-i-a	verb;TR;3A.SG
parissade	pariss+ade	noun;ABS
paruž	pari-ož	noun;EQU
parzīga	parzīgi-a	noun;ESS
parġida	parġi-da	noun;DIR
passa	passi-a	noun;ESS
passūwa	pass-u-a	verb;MED;3A.SG
patteni	patte-ne	noun;ABL/INS
paġandarri	paġ+and+ar+i-ne	noun;ABL/INS
paġedab	pāġ-ed-aw	verb;FUT;1A.SG
paġli	paġ+li	noun;ABS
paġmi	paġmi	noun;ABS
paġruž	faġri-ož	noun;EQU
paġruž	faġr-o-ež	verb;MOD.PAT;OPT
paġrōžina	faġr+o+že-na	ADJ;RELAT.PL.ABS
paġēda	pāġ-ed-a	verb;FUT;3A.SG
paīnninibuž	paīnni-ne-ve-ož	noun;RELAT.SG;GEN;EQU
paššarugāra	pašš+ar+ugār+i-a	noun;ESS
paššarugāra	pašš-ar-ugar-a	verb;ITER;RECIP;INT
paššinamma	pašši-na=mma	noun;RELAT.PL.ABS;2SG.ABS
paššitḫa	pāšš+i+tḫe-a	noun;ESS
paššitḫi	pāšš+i+tḫe	noun;ABS
paššiġiani	pašš+i+ġe-i-ane	noun;3POSS.SG;ABL/INS
pažāe	pāže-ae	noun;INS
paḫḫirāžuž	paġari-na-až-ož	noun;RELAT.PL;PL;ERG
pella	pili-na	noun;RELAT.PL.ABS
pellēni	pille-ne-e	noun;RELAT.SG;DIR/LOC
pendidu	pend-id-o	verb;PL.A;TR.PFV
pendiža	pend-iž-a	verb;iž;3A.SG
pendu	pen-d-o	verb;d;MOD.PAT
pendukku	pend-o-kko	verb;INT;NEG
pendōvalla	pend-u-a=lla	verb;MED;3A.SG;3PL.ABS
pendūġa	pend-oġ-a	verb;oġ;INT.IMP
piari	pīari	noun;ABS
pidari⸢fa⸣ša	ped+ar+i-v-až-a	noun;2POSS;PL;DAT/ESS
pidia	pīdi-i-a	noun;3POSS.SG;ESS
pidia	pid-i-a	verb;TR;3A.SG
piduffa	pid+uff-a	verb;INT
piduġu	pīd+uġ-o	verb;MOD.PAT
piduššida	pid+o+šše-da	noun;DIR
piga	pigi-a	noun;ESS
piga	pig-a	verb;INT
pillanēva	pilla-ne-va	noun;RELAT.SG;DAT
pilāġižiliġa	pil+āġ+i+šše+li+ġe-a	noun;ESS
pindab	pend-a-b	verb;INT;b
pindaianni	pindaia+ni-ne	noun;ABL/INS
pindaulda	pend-aʾ-ol-d-a	verb;aʾ;ol;PL.A;3A
pindilivaž	pend-i-l-eva-ž	verb;MOD.AG;l;POT;ž
pindun	pend-o=n	verb;MOD.PAT;3SG.ABS
pindōli	pend-ol-i	verb;ol;ANTIP
pirida	piri-da	noun;DIR
pirida	pir-ed-a	verb;FUT;3A.SG
pirrib	piri-ne-e=v	noun;RELAT.SG;DIR/LOC;2PL.ABS
pirrib	pirr-i-b	verb;ANTIP;b
pirugāra	pir+ugāri-a	noun;ESS
pirugāra	pir-ugar-a	verb;RECIP;INT
pirundōġa	pirund+ō+ġe-a	noun;ESS
pitkira	pitkiri-a	noun;ESS
pittugalliaž	pittugalli-i-až	noun;3POSS;PL.ABS
pizigarra	pizigarra	noun;ABS
pizigarraž	pizigarra-ž	noun;ERG
piġida	piġi-da	noun;DIR
piġīe	piġi-i-e	noun;3POSS.SG;DIR/LOC
piġīe	piġ-i-en	verb;MOD.AG;3JUSS
pišḫi	pišḫi	noun;ABS
pišḫi	pišḫ-i	verb;ANTIP
pižešḫum	piž+ešḫ-o-m	verb;TR.PFV;3A.SG
pižirri	pižiri-ne	noun;ABL/INS
pižāišpānel	pižāiš.pā-ne=l	noun;ABL/INS;3PL.ABS
pudulimašši	fud+ol+i+m+a+šše	noun;ABS
pudulināi	fud+ol+i+ni-ae	noun;INS
pudulināi	fud-ul-in-i-ai	verb;ul;in;MOD.AG;PURP
puduž	fud-o-ež	verb;MOD.PAT;OPT
pudūlimaššinama	fud+ol+i+m+a+šše-na=ma	noun;RELAT.PL.ABS;CON
pudūlimaššinaža	fud+ol+i+m+a+šše-na-až-a	noun;RELAT.PL;PL;DAT/ESS
pudūrež	fud-o-re-i-ž	verb;PAT;PTCP;3POSS.SG;ERG
pudūri	fud-o-re	verb;PAT;PTCP.ABS
puenāžuž	powe-na-až-ož	noun;RELAT.PL;PL;ERG
pugulba	pugulbi-a	noun;ESS
pugulba	fogl-b-a	verb;b;INT
pulidibāe	pul+idi-ve-ae	noun;GEN;INS
pullež	poli-ne-ž	noun;RELAT.SG;ERG
pullibāe	poli-ne-ve-ae	noun;RELAT.SG;GEN;INS
pulliž	puli-ne-ž	noun;RELAT.SG;ERG
purallinninažal	fōr+all+i+nni-na-až-a=l	noun;RELAT.PL;PL;DAT/ESS;3PL.ABS
puramdi	purandi	noun;ABS
purammib	pura+mmi-v	noun;2POSS.SG.ABS
purammippuwan	pura+mmi-iffu-va=an	noun;1POSS.SG;DAT;CON
purandinel	purandi-ne-ž=l	noun;RELAT.SG;ERG;3PL.ABS
puranzipḫināža	puranziḫ-ve-na-až-a	noun;GEN;RELAT.PL;PL;DAT/ESS
purburnīe	pur+bur+ni-e	noun;3POSS.SG.ABS
purran	purra=n	noun;ABS;3SG.ABS
purranna	purra-nna	noun;EQU2
purrābi	purra-ve	noun;GEN
purrēnni	pur+i+rē+nni	noun;ABS
purullibi	fōroli-ne-ve	noun;RELAT.SG;GEN
purġa	purġi-a	noun;ESS
purġa	purġ-a	verb;INT
pussa	pussi-a	noun;ESS
pussa	puss-a	verb;INT
putki	fut+ki	noun;ABS
putkīda	fut+ki-da	noun;DIR
puttiġiž	put+t+i+ġe-i-ž	noun;3POSS.SG;ERG
puweni	powe-ne	noun;ABL/INS
puġuiridama	puġuiri-da=ma	noun;DIR;CON
pušši	pušši	noun;ABS
puššinni	pošš+i+nni	noun;ABS
pābanni	paba+ni-ne	noun;ABL/INS
pābelġa	pābel+ġe-a	noun;ESS
pāenib	pāeni-v	noun;2POSS.SG.ABS
pāenippa	pāeni-v-va	noun;2POSS.SG;DAT
pāinnia	paini-ne-va	noun;RELAT.SG;DAT
pāinniž	paini-ne-ž	noun;RELAT.SG;ERG
